(s, ns, GiB/s):
  0, 0.001, 783463.110, 9.972
  1, 0.001, 783470.828, 9.972
  2, 0.001, 783449.668, 9.972
  3, 0.001, 783455.586, 9.972
  4, 0.001, 783439.102, 9.972
  5, 0.001, 783444.580, 9.972
  6, 0.001, 783440.964, 9.972
  7, 0.001, 783440.240, 9.972
  8, 0.001, 783439.330, 9.972
  9, 0.001, 783436.258, 9.972
 10, 0.001, 783433.006, 9.972
 11, 0.001, 783455.562, 9.972
 12, 0.001, 783475.874, 9.972
 13, 0.001, 783452.126, 9.972
 14, 0.001, 783443.256, 9.972
 15, 0.001, 783443.978, 9.972
 16, 0.001, 783445.478, 9.972
 17, 0.001, 783432.054, 9.972
 18, 0.001, 783447.650, 9.972
 19, 0.001, 783429.894, 9.972
 20, 0.001, 783436.604, 9.972
 21, 0.001, 783438.552, 9.972
 22, 0.001, 783445.992, 9.972
 23, 0.001, 783446.608, 9.972
 24, 0.001, 783434.216, 9.972
 25, 0.001, 783451.676, 9.972
 26, 0.001, 783434.636, 9.972
 27, 0.001, 783461.074, 9.972
 28, 0.001, 783429.618, 9.972
 29, 0.001, 783443.942, 9.972
 30, 0.001, 783440.856, 9.972
 31, 0.001, 783444.324, 9.972
 32, 0.001, 783442.736, 9.972

783429.618, 783475.874, 783445.133, 11.012, 0.001 %

Delta(min, max)   = 46.256
Delta(amean, min) = 15.515
Delta(amean, max) = 30.741


(cycles, CPIt, CPI):
  0, 5010233.276, 4.778, 0.956
  1, 5010194.278, 4.778, 0.956
  2, 5010188.210, 4.778, 0.956
  3, 5010218.178, 4.778, 0.956
  4, 5010189.868, 4.778, 0.956
  5, 5010229.066, 4.778, 0.956
  6, 5010198.908, 4.778, 0.956
  7, 5010181.816, 4.778, 0.956
  8, 5010210.102, 4.778, 0.956
  9, 5010195.966, 4.778, 0.956
 10, 5010231.798, 4.778, 0.956
 11, 5010233.952, 4.778, 0.956
 12, 5010202.970, 4.778, 0.956
 13, 5010206.060, 4.778, 0.956
 14, 5010222.754, 4.778, 0.956
 15, 5010196.216, 4.778, 0.956
 16, 5010194.898, 4.778, 0.956
 17, 5010212.392, 4.778, 0.956
 18, 5010192.036, 4.778, 0.956
 19, 5010212.274, 4.778, 0.956
 20, 5010219.188, 4.778, 0.956
 21, 5010182.504, 4.778, 0.956
 22, 5010212.436, 4.778, 0.956
 23, 5010195.028, 4.778, 0.956
 24, 5010195.682, 4.778, 0.956
 25, 5010167.632, 4.778, 0.956
 26, 5010216.198, 4.778, 0.956
 27, 5010193.806, 4.778, 0.956
 28, 5010208.524, 4.778, 0.956
 29, 5010189.690, 4.778, 0.956
 30, 5010187.812, 4.778, 0.956
 31, 5010201.466, 4.778, 0.956
 32, 5010192.272, 4.778, 0.956

5010167.632, 5010233.952, 5010203.250, 16.205, 0.000 %

Delta(min, max)   = 66.320
Delta(amean, min) = 35.618
Delta(amean, max) = 30.702
