(s, ns, GiB/s):
  0,                0.000,             1499.752,     40.697
  1,                0.000,             1478.597,     41.279
  2,                0.000,             1475.924,     41.354
  3,                0.000,             1457.232,     41.884
  4,                0.000,             1466.081,     41.632
  5,                0.000,             1452.574,     42.019
  6,                0.000,             1446.707,     42.189
  7,                0.000,             1473.480,     41.422
  8,                0.000,             1475.697,     41.360
  9,                0.000,             1465.240,     41.655
 10,                0.000,             1446.573,     42.193
 11,                0.000,             1456.318,     41.911
 12,                0.000,             1434.565,     42.546
 13,                0.000,             1432.530,     42.607
 14,                0.000,             1452.553,     42.019
 15,                0.000,             1438.941,     42.417
 16,                0.000,             1463.519,     41.704
 17,                0.000,             1467.342,     41.596
 18,                0.000,             1470.836,     41.497
 19,                0.000,             1443.931,     42.270
 20,                0.000,             1442.451,     42.314
 21,                0.000,             1468.259,     41.570
 22,                0.000,             1460.536,     41.790
 23,                0.000,             1461.670,     41.757
 24,                0.000,             1449.237,     42.115
 25,                0.000,             1454.532,     41.962
 26,                0.000,             1435.506,     42.518
 27,                0.000,             1442.714,     42.306
 28,                0.000,             1472.246,     41.457
 29,                0.000,             1471.626,     41.475
 30,                0.000,             1468.500,     41.563
 31,                0.000,             1462.170,     41.743
 32,                0.000,             1460.064,     41.803

1432.530, 1499.752, 1459.027, 15.003, 1.028 %

Delta(min, max)   = 67.222
Delta(amean, min) = 26.497
Delta(amean, max) = 40.725


(cycles, CPIt, CPI):
  0,             2686.487,                0.328,                0.066
  1,             2673.275,                0.326,                0.065
  2,             2643.780,                0.323,                0.065
  3,             2644.987,                0.323,                0.065
  4,             2604.705,                0.318,                0.064
  5,             2602.421,                0.318,                0.064
  6,             2603.981,                0.318,                0.064
  7,             2584.293,                0.315,                0.063
  8,             2605.986,                0.318,                0.064
  9,             2598.604,                0.317,                0.063
 10,             2609.045,                0.318,                0.064
 11,             2635.470,                0.322,                0.064
 12,             2637.010,                0.322,                0.064
 13,             2624.792,                0.320,                0.064
 14,             2614.263,                0.319,                0.064
 15,             2628.294,                0.321,                0.064
 16,             2615.240,                0.319,                0.064
 17,             2626.076,                0.321,                0.064
 18,             2616.502,                0.319,                0.064
 19,             2617.975,                0.320,                0.064
 20,             2639.688,                0.322,                0.064
 21,             2639.278,                0.322,                0.064
 22,             2676.711,                0.327,                0.065
 23,             2680.249,                0.327,                0.065
 24,             2649.523,                0.323,                0.065
 25,             2578.229,                0.315,                0.063
 26,             2605.342,                0.318,                0.064
 27,             2601.945,                0.318,                0.064
 28,             2608.400,                0.318,                0.064
 29,             2657.815,                0.324,                0.065
 30,             2659.219,                0.325,                0.065
 31,             2638.364,                0.322,                0.064
 32,             2631.742,                0.321,                0.064

2578.229, 2686.487, 2628.475, 27.384, 1.042 %

Delta(min, max)   = 108.258
Delta(amean, min) = 50.246
Delta(amean, max) = 58.012
