(s, ns, GiB/s):
  0,                0.000,            74430.282,     26.241
  1,                0.000,            73619.138,     26.530
  2,                0.000,            74142.538,     26.343
  3,                0.000,            73647.478,     26.520
  4,                0.000,            73590.088,     26.541
  5,                0.000,            73601.936,     26.536
  6,                0.000,            73935.328,     26.417
  7,                0.000,            73796.584,     26.466
  8,                0.000,            73607.148,     26.534
  9,                0.000,            73611.878,     26.533
 10,                0.000,            73613.766,     26.532
 11,                0.000,            73575.060,     26.546
 12,                0.000,            74188.222,     26.327
 13,                0.000,            73564.562,     26.550
 14,                0.000,            73612.156,     26.533
 15,                0.000,            73570.232,     26.548
 16,                0.000,            73605.476,     26.535
 17,                0.000,            73609.718,     26.534
 18,                0.000,            74179.064,     26.330
 19,                0.000,            73554.990,     26.553
 20,                0.000,            73539.864,     26.559
 21,                0.000,            73605.926,     26.535
 22,                0.000,            73608.666,     26.534
 23,                0.000,            74192.518,     26.325
 24,                0.000,            73613.608,     26.532
 25,                0.000,            73596.366,     26.538
 26,                0.000,            73615.792,     26.531
 27,                0.000,            73604.718,     26.535
 28,                0.000,            73701.236,     26.501
 29,                0.000,            73609.976,     26.533
 30,                0.000,            73606.390,     26.535
 31,                0.000,            73606.620,     26.535
 32,                0.000,            73564.360,     26.550

73539.864, 74430.282, 73712.778, 235.289, 0.319 %

Delta(min, max)   = 890.418
Delta(amean, min) = 172.914
Delta(amean, max) = 717.504


(cycles, CPIt, CPI):
  0,           133557.228,                0.509,                0.102
  1,           132507.524,                0.505,                0.101
  2,           132498.916,                0.505,                0.101
  3,           132533.440,                0.506,                0.101
  4,           132473.394,                0.505,                0.101
  5,           133079.480,                0.508,                0.102
  6,           132860.076,                0.507,                0.101
  7,           132505.984,                0.505,                0.101
  8,           132511.496,                0.505,                0.101
  9,           132509.226,                0.505,                0.101
 10,           132425.538,                0.505,                0.101
 11,           133406.250,                0.509,                0.102
 12,           132576.540,                0.506,                0.101
 13,           132427.760,                0.505,                0.101
 14,           132445.322,                0.505,                0.101
 15,           132498.308,                0.505,                0.101
 16,           132478.054,                0.505,                0.101
 17,           133486.276,                0.509,                0.102
 18,           132463.950,                0.505,                0.101
 19,           132454.870,                0.505,                0.101
 20,           132462.340,                0.505,                0.101
 21,           132454.164,                0.505,                0.101
 22,           133493.868,                0.509,                0.102
 23,           132453.490,                0.505,                0.101
 24,           132438.008,                0.505,                0.101
 25,           132522.380,                0.506,                0.101
 26,           132455.198,                0.505,                0.101
 27,           132609.244,                0.506,                0.101
 28,           133281.904,                0.508,                0.102
 29,           132481.274,                0.505,                0.101
 30,           132555.072,                0.506,                0.101
 31,           132501.272,                0.505,                0.101
 32,           132470.668,                0.505,                0.101

132425.538, 133557.228, 132662.985, 360.274, 0.272 %

Delta(min, max)   = 1131.690
Delta(amean, min) = 237.447
Delta(amean, max) = 894.243
